code,mcap
002875,27.97
002876,51.31
002877,26.4
002878,32.54
002879,31.77
002880,51.46
002881,123.31
002882,95.37
002884,57.26
002885,76.21
002886,69.49
002887,29.1
002888,28.47
002889,47.51
002890,25.16
002891,92.58
002892,77.09
002893,26.44
002895,201.33
002896,125.09
002897,110.51
002899,27.49
002900,42.04
002901,187.05
002902,64.23
002903,45.06
002905,30.59
002906,140.47
002907,64.81
002908,30.89
002909,21.33
002910,19.48
002911,144.1
002912,32.97
002913,187.43
002915,63.27
002916,2468.55
002917,36.15
002918,46.32
002919,46.12
002920,524.6
002921,31.45
002922,104.21
002923,37.17
002925,179.03
002926,226.01
002927,35.73
002928,81.04
002929,149.17
002930,42.27
002931,100.29
002933,31.17
002935,66.27
002936,161.84
002937,99.54
002938,2066.78
002939,328.0
002940,51.32
002941,79.98
002942,32.51
002943,90.22
002945,397.44
002946,132.11
002947,165.33
002948,351.55
002949,27.61
002950,58.51
002951,64.61
002952,35.81
002953,55.75
002955,79.58
002956,53.66
002957,171.35
002958,162.23
002959,51.35
002960,90.62
002961,98.06
002962,37.74
002963,28.79
002965,81.47
002966,389.84
002967,110.08
002968,21.68
002969,138.19
002970,89.85
002971,99.16
002972,30.43
002973,51.37
002975,214.12
002976,47.62
002978,127.3
002979,178.28
002980,190.09
002981,32.39
002982,25.77
002983,45.76
002984,146.84
002985,88.8
002986,52.87
002987,123.61
002988,61.25
002989,48.55
002990,122.55
002991,36.21
002992,61.24
002993,104.43
002995,30.27
002996,42.51
002997,59.72
002998,28.7
002999,22.66
003000,44.46
003001,27.81
003002,33.4
003003,20.04
003004,57.31
003005,34.78
003006,60.32
003007,46.66
003008,20.85
003009,77.38
003010,94.87
003011,21.46
003012,55.42
003013,68.84
003015,34.37
003016,29.81
003017,23.6
003018,140.93
003019,47.56
003020,42.56
003021,188.45
003022,268.32
003023,28.85
003025,35.41
003026,54.9
003027,22.05
003028,32.93
003029,33.11
003030,30.08
003031,571.26
003032,42.02
003033,55.89
003035,216.29
003036,117.38
003037,34.39
003038,26.81
003039,74.66
003040,85.31
003041,55.68
003042,21.44
003043,119.17
003816,2141.15
300001,368.41
300002,157.96
300003,222.32
300004,41.52
300005,100.83
300006,61.56
300007,102.1
300008,108.69
300009,142.34
300011,37.12
300012,253.43
300013,23.73
300014,1180.53
300015,767.21
300016,52.47
300017,382.09
300018,56.79
300019,57.51
300021,41.92
300022,41.52
300024,225.76
300025,27.47
300026,103.64
300030,21.58
300031,88.61
300032,31.56
300033,1734.84
300034,127.91
300035,93.08
300036,51.79
300037,493.12
300039,59.83
300040,37.19
300041,61.03
300042,79.36
300043,55.62
300045,81.97
300046,58.28
300047,59.69
300048,57.86
300049,110.85
300050,35.63
300051,31.25
300052,27.7
300053,84.46
300054,692.1
300055,51.54
300056,32.73
300057,69.85
300058,480.01
300059,3072.67
300061,40.53
300062,38.99
300063,66.52
300065,110.61
300066,51.9
300067,63.84
300069,30.57
300070,126.85
300071,39.33
300072,91.4
300073,223.43
300074,21.19
300075,66.9
300077,137.59
300078,35.32
300079,65.03
300080,71.75
300082,58.83
300083,227.36
300084,57.4
300085,224.85
300086,30.77
300088,174.59
300092,32.82
300093,130.68
300094,35.99
300095,32.82
300097,29.71
300098,81.15
300099,44.09
300100,124.6
300101,81.32
300102,165.75
300103,25.34
300105,39.31
300106,23.5
300107,39.17
300109,81.97
300110,34.99
300111,40.29
300112,29.83
300113,109.75
300115,323.73
300118,112.18
300119,80.4
300120,54.17
300121,43.86
300122,339.92
300124,1680.11
300125,64.52
300126,20.15
300127,81.01
300128,63.4
300129,81.17
300130,111.82
300131,191.02
300132,33.16
300133,129.55
300134,65.16
300135,32.99
300136,583.83
300137,61.39
300138,56.81
300139,150.65
300140,170.45
300141,25.84
300142,228.39
300143,75.11
300144,154.71
300145,88.52
300146,166.46
300148,28.92
300149,48.88
300150,24.93
300151,85.57
300153,70.02
300154,54.62
300155,25.93
300157,31.46
300158,52.39
300159,100.69
300160,34.24
300161,52.54
300162,32.01
300163,35.83
300164,59.96
300165,27.05
300166,143.6
300168,71.46
300169,18.74
300170,173.13
300171,116.18
300172,31.6
300174,70.66
300175,28.48
300176,25.19
300177,47.78
300179,176.22
300180,84.18
300181,97.0
300182,131.06
300183,49.22
300184,140.58
300185,110.59
300187,30.73
300188,90.16
300189,67.79
300190,35.74
300191,121.7
300192,80.09
300193,38.15
300194,48.42
300195,25.25
300196,69.97
300197,61.38
300199,207.12
300200,37.06
300201,141.17
300203,58.78
300204,116.12
300206,68.11
300207,331.25
300209,311.37
300210,40.77
300213,37.98
300214,60.72
300215,50.11
300217,62.52
300218,27.88
300219,49.84
300220,17.01
300221,65.14
300222,79.4
300223,698.79
300224,106.19
300225,33.99
300226,64.18
300227,77.99
300228,44.87
300229,116.1
300230,35.7
300231,37.27
300232,59.64
300233,51.13
300234,50.92
300235,27.42
300236,275.09
300238,31.82
300239,30.69
300240,22.81
300241,41.57
300242,25.7
300243,47.97
300244,116.62
300246,39.56
300247,30.47
300248,41.78
300249,59.6
300250,32.51
300251,320.35
300252,80.46
300253,151.23
300254,23.17
300255,224.25
300256,65.56
300257,186.21
300258,55.4
300259,50.94
300260,241.75
300261,49.42
300263,109.92
300264,28.05
300265,66.68
300266,29.68
300267,69.51
300268,24.07
300269,27.24
300270,34.46
300271,46.19
300272,36.38
300274,2025.32
300275,27.97
300276,89.67
300277,180.93
300278,53.16
300279,28.12
300281,27.23
300283,66.5
300284,66.55
